Patient	Type	Gene	Cytoband	Samples with alteration in altered group	Samples with alteration in unaltered group	Log Ratio	p-Value	q-Value	Tendency
P-0015369	MUT	PGR	11q22.1	11 (1.23%)	2 (0.13%)	3.28	4.73E-04	3.597E-03	Co-occurrence
P-0015369	MUT	SOX17	8q11.23	11 (1.23%)	2 (0.13%)	3.28	4.73E-04	3.597E-03	Co-occurrence
P-0015369	MUT	RUNX1	21q22.12	16 (1.79%)	6 (0.38%)	2.23	5.128E-04	3.857E-03	Co-occurrence
P-0015369	MUT	BRD4	19p13.12	27 (3.01%)	17 (1.08%)	1.48	5.389E-04	4.01E-03	Co-occurrence
P-0015369	MUT	PLCG2	16q23.3	17 (1.90%)	7 (0.44%)	2.1	5.606E-04	4.103E-03	Co-occurrence
P-0015369	MUT	KDR	4q12	34 (3.79%)	25 (1.58%)	1.26	5.632E-04	4.103E-03	Co-occurrence
P-0015369	MUT	BAP1	3p21.1	12 (1.34%)	3 (0.19%)	2.82	6.602E-04	4.662E-03	Co-occurrence
P-0015369	MUT	INSR	19p13.2	12 (1.34%)	3 (0.19%)	2.82	6.602E-04	4.662E-03	Co-occurrence
P-0015369	MUT	MRE11	11q21	12 (1.34%)	3 (0.19%)	2.82	6.602E-04	4.662E-03	Co-occurrence
P-0015369	MUT	CDK8	13q12.13	9 (1.00%)	1 (0.06%)	3.99	7.039E-04	4.871E-03	Co-occurrence
P-0015369	MUT	SMARCD1	12q13.12	9 (1.00%)	1 (0.06%)	3.99	7.039E-04	4.871E-03	Co-occurrence
P-0015369	MUT	ASXL1	20q11.21	36 (4.02%)	28 (1.77%)	1.18	7.321E-04	5.016E-03	Co-occurrence
P-0015369	MUT	CXCR4	2q22.1	7 (0.78%)	0 (0.00%)	>10	8.028E-04	5.394E-03	Co-occurrence
P-0015369	MUT	INPP4A	2q11.2	7 (0.78%)	0 (0.00%)	>10	8.028E-04	5.394E-03	Co-occurrence
P-0015369	MUT	PIK3CA	3q26.32	121 (13.50%)	147 (9.31%)	0.54	8.89E-04	5.915E-03	Co-occurrence
P-0015369	MUT	ETV1	7p21.2	14 (1.56%)	5 (0.32%)	2.3	9.54E-04	6.228E-03	Co-occurrence
P-0015369	MUT	RAD21	8q24.11	14 (1.56%)	5 (0.32%)	2.3	9.54E-04	6.228E-03	Co-occurrence
P-0015369	MUT	ARAF	Xp11.3	15 (1.67%)	6 (0.38%)	2.14	1.053E-03	6.812E-03	Co-occurrence
P-0015369	MUT	JAK3	19p13.11	23 (2.57%)	14 (0.89%)	1.53	1.082E-03	6.93E-03	Co-occurrence
P-0015369	MUT	ACVR1	2q24.1	10 (1.12%)	2 (0.13%)	3.14	1.122E-03	7.059E-03	Co-occurrence
P-0015369	MUT	GATA3	10p14	10 (1.12%)	2 (0.13%)	3.14	1.122E-03	7.059E-03	Co-occurrence
P-0015369	MUT	FLT1	13q12.3	30 (3.35%)	22 (1.39%)	1.26	1.157E-03	7.211E-03	Co-occurrence
P-0015369	MUT	MET	7q31.2	33 (3.68%)	26 (1.65%)	1.16	1.385E-03	8.555E-03	Co-occurrence
P-0015369	MUT	RBM10	Xp11.3	11 (1.23%)	3 (0.19%)	2.69	1.485E-03	9.095E-03	Co-occurrence
P-0015369	MUT	NUP93	16q13	8 (0.89%)	1 (0.06%)	3.82	1.77E-03	0.0106	Co-occurrence
P-0015369	MUT	RAD51D	17q12	8 (0.89%)	1 (0.06%)	3.82	1.77E-03	0.0106	Co-occurrence
P-0015369	MUT	TGFBR2	3p24.1	8 (0.89%)	1 (0.06%)	3.82	1.77E-03	0.0106	Co-occurrence
P-0015369	MUT	NF1	17q11.2	132 (14.73%)	168 (10.64%)	0.47	1.832E-03	0.0108	Co-occurrence
P-0015369	MUT	ERBB2	17q12	21 (2.34%)	13 (0.82%)	1.51	2.003E-03	0.0114	Co-occurrence
P-0015369	MUT	ERCC5	13q33.1	20 (2.23%)	12 (0.76%)	1.55	2.086E-03	0.0114	Co-occurrence
P-0015369	MUT	HIST1H3F	6p22.2	14 (1.56%)	6 (0.38%)	2.04	2.128E-03	0.0114	Co-occurrence
P-0015369	MUT	XPO1	2p15	15 (1.67%)	7 (0.44%)	1.92	2.212E-03	0.0114	Co-occurrence
P-0015369	MUT	ERCC2	19q13.32	18 (2.01%)	10 (0.63%)	1.67	2.213E-03	0.0114	Co-occurrence
P-0015369	MUT	PRDM1	6q21	18 (2.01%)	10 (0.63%)	1.67	2.213E-03	0.0114	Co-occurrence
P-0015369	MUT	CHEK1	11q24.2	6 (0.67%)	0 (0.00%)	>10	2.227E-03	0.0114	Co-occurrence
P-0015369	MUT	DROSHA	5p13.3	6 (0.67%)	0 (0.00%)	>10	2.227E-03	0.0114	Co-occurrence
P-0015369	MUT	FOXO1	13q14.11	6 (0.67%)	0 (0.00%)	>10	2.227E-03	0.0114	Co-occurrence
P-0015369	MUT	MAPK3	16p11.2	6 (0.67%)	0 (0.00%)	>10	2.227E-03	0.0114	Co-occurrence
P-0015369	MUT	PIK3R3	1p34.1	6 (0.67%)	0 (0.00%)	>10	2.227E-03	0.0114	Co-occurrence
P-0015369	MUT	PIM1	6p21.2	6 (0.67%)	0 (0.00%)	>10	2.227E-03	0.0114	Co-occurrence
P-0015369	MUT	RAD54L	1p34.1	6 (0.67%)	0 (0.00%)	>10	2.227E-03	0.0114	Co-occurrence
P-0015369	MUT	RPS6KB2	11q13.2	6 (0.67%)	0 (0.00%)	>10	2.227E-03	0.0114	Co-occurrence
P-0015369	MUT	RTEL1	20q13.33	6 (0.67%)	0 (0.00%)	>10	2.227E-03	0.0114	Co-occurrence
P-0015369	MUT	XIAP	Xq25	6 (0.67%)	0 (0.00%)	>10	2.227E-03	0.0114	Co-occurrence
P-0015369	MUT	ERCC3	2q14.3	16 (1.79%)	8 (0.51%)	1.82	2.248E-03	0.0114	Co-occurrence
P-0015369	MUT	TET1	10q21.3	16 (1.79%)	8 (0.51%)	1.82	2.248E-03	0.0114	Co-occurrence
P-0015369	MUT	TSC1	9q34.13	16 (1.79%)	8 (0.51%)	1.82	2.248E-03	0.0114	Co-occurrence
P-0015369	MUT	FOXA1	14q21.1	9 (1.00%)	2 (0.13%)	2.99	2.624E-03	0.0129	Co-occurrence
P-0015369	MUT	HOXB13	17q21.32	9 (1.00%)	2 (0.13%)	2.99	2.624E-03	0.0129	Co-occurrence
P-0015369	MUT	LATS2	13q12.11	9 (1.00%)	2 (0.13%)	2.99	2.624E-03	0.0129	Co-occurrence
P-0015369	MUT	MEN1	11q13.1	9 (1.00%)	2 (0.13%)	2.99	2.624E-03	0.0129	Co-occurrence
P-0015369	MUT	PIK3CB	3q22.3	9 (1.00%)	2 (0.13%)	2.99	2.624E-03	0.0129	Co-occurrence
P-0015369	MUT	INPP4B	4q31.21	10 (1.12%)	3 (0.19%)	2.55	3.286E-03	0.016	Co-occurrence
P-0015369	MUT	BRCA1	17q21.31	27 (3.01%)	21 (1.33%)	1.18	3.349E-03	0.0162	Co-occurrence
P-0015369	MUT	SUZ12	17q11.2	11 (1.23%)	4 (0.25%)	2.28	3.754E-03	0.0179	Co-occurrence
P-0015369	MUT	TRAF7	16p13.3	11 (1.23%)	4 (0.25%)	2.28	3.754E-03	0.0179	Co-occurrence
P-0015369	MUT	NOTCH2	1p12	33 (3.68%)	29 (1.84%)	1	4.12E-03	0.0195	Co-occurrence
P-0015369	MUT	KDM6A	Xp11.3	16 (1.79%)	9 (0.57%)	1.65	4.17E-03	0.0196	Co-occurrence
P-0015369	MUT	NF2	22q12.2	13 (1.45%)	6 (0.38%)	1.93	4.218E-03	0.0196	Co-occurrence
P-0015369	MUT	MSH2	2p21-p16.3	24 (2.68%)	18 (1.14%)	1.23	4.245E-03	0.0196	Co-occurrence
P-0015369	MUT	KDM5C	Xp11.22	14 (1.56%)	7 (0.44%)	1.82	4.276E-03	0.0196	Co-occurrence
P-0015369	MUT	BCL2L1	20q11.21	7 (0.78%)	1 (0.06%)	3.62	4.398E-03	0.0196	Co-occurrence
P-0015369	MUT	BTK	Xq22.1	7 (0.78%)	1 (0.06%)	3.62	4.398E-03	0.0196	Co-occurrence
P-0015369	MUT	CD79B	17q23.3	7 (0.78%)	1 (0.06%)	3.62	4.398E-03	0.0196	Co-occurrence
P-0015369	MUT	PAK5	20p12.2	7 (0.78%)	1 (0.06%)	3.62	4.398E-03	0.0196	Co-occurrence
P-0015369	MUT	RAD51C	17q22	7 (0.78%)	1 (0.06%)	3.62	4.398E-03	0.0196	Co-occurrence
P-0015369	MUT	ROS1	6q22.1	37 (4.13%)	35 (2.22%)	0.9	5.333E-03	0.0237	Co-occurrence
P-0015369	MUT	EPHA3	3p11.1	20 (2.23%)	14 (0.89%)	1.33	5.689E-03	0.0251	Co-occurrence
P-0015369	MUT	IL7R	5p13.2	8 (0.89%)	2 (0.13%)	2.82	6.034E-03	0.0253	Co-occurrence
P-0015369	MUT	KMT2B	19q13.12	8 (0.89%)	2 (0.13%)	2.82	6.034E-03	0.0253	Co-occurrence
P-0015369	MUT	MAPK1	22q11.22	8 (0.89%)	2 (0.13%)	2.82	6.034E-03	0.0253	Co-occurrence
P-0015369	MUT	POLQ	3q13.33	8 (0.89%)	2 (0.13%)	2.82	6.034E-03	0.0253	Co-occurrence
P-0015369	MUT	PPP2R1A	19q13.41	8 (0.89%)	2 (0.13%)	2.82	6.034E-03	0.0253	Co-occurrence
P-0015369	MUT	SOCS1	16p13.13	8 (0.89%)	2 (0.13%)	2.82	6.034E-03	0.0253	Co-occurrence
P-0015369	MUT	PTPRD	9p24.1-p23	19 (2.12%)	13 (0.82%)	1.36	6.083E-03	0.0253	Co-occurrence
P-0015369	MUT	CUL3	2q36.2	5 (0.56%)	0 (0.00%)	>10	6.174E-03	0.0253	Co-occurrence
P-0015369	MUT	GSK3B	3q13.33	5 (0.56%)	0 (0.00%)	>10	6.174E-03	0.0253	Co-occurrence
P-0015369	MUT	ICOSLG	21q22.3	5 (0.56%)	0 (0.00%)	>10	6.174E-03	0.0253	Co-occurrence
P-0015369	MUT	IGF1	12q23.2	5 (0.56%)	0 (0.00%)	>10	6.174E-03	0.0253	Co-occurrence
P-0015369	MUT	TNFRSF14	1p36.32	5 (0.56%)	0 (0.00%)	>10	6.174E-03	0.0253	Co-occurrence
P-0015369	MUT	ERBB4	2q34	24 (2.68%)	19 (1.20%)	1.15	6.375E-03	0.0259	Co-occurrence
P-0015369	MUT	ALK	2p23.2-p23.1	27 (3.01%)	23 (1.46%)	1.05	7.11E-03	0.0285	Co-occurrence
P-0015369	MUT	NFE2L2	2q31.2	9 (1.00%)	3 (0.19%)	2.4	7.13E-03	0.0285	Co-occurrence
P-0015369	MUT	STAT3	17q21.2	9 (1.00%)	3 (0.19%)	2.4	7.13E-03	0.0285	Co-occurrence
P-0015369	MUT	PTPN11	12q24.13	50 (5.58%)	54 (3.42%)	0.71	7.419E-03	0.0295	Co-occurrence
P-0015369	MUT	IGF1R	15q26.3	22 (2.46%)	17 (1.08%)	1.19	7.525E-03	0.0298	Co-occurrence
P-0015369	MUT	EED	11q14.2	10 (1.12%)	4 (0.25%)	2.14	7.787E-03	0.0304	Co-occurrence
P-0015369	MUT	RASA1	5q14.3	10 (1.12%)	4 (0.25%)	2.14	7.787E-03	0.0304	Co-occurrence
P-0015369	MUT	POLD1	19q13.33	14 (1.56%)	8 (0.51%)	1.62	7.889E-03	0.0307	Co-occurrence
P-0015369	MUT	RAF1	3p25.2	13 (1.45%)	7 (0.44%)	1.71	8.101E-03	0.031	Co-occurrence
P-0015369	MUT	SMARCB1	22q11.23|22q11	13 (1.45%)	7 (0.44%)	1.71	8.101E-03	0.031	Co-occurrence
P-0015369	MUT	AKT2	19q13.2	11 (1.23%)	5 (0.32%)	1.95	8.111E-03	0.031	Co-occurrence
P-0015369	MUT	MYC	8q24.21	12 (1.34%)	6 (0.38%)	1.82	8.193E-03	0.0312	Co-occurrence
P-0015369	MUT	GLI1	12q13.3	20 (2.23%)	15 (0.95%)	1.23	8.841E-03	0.0334	Co-occurrence
P-0015369	MUT	DICER1	14q32.13	24 (2.68%)	20 (1.27%)	1.08	9.311E-03	0.035	Co-occurrence
P-0015369	MUT	PIK3C3	18q12.3	6 (0.67%)	1 (0.06%)	3.4	0.0108	0.0401	Co-occurrence
P-0015369	MUT	PREX2	8q13.2	6 (0.67%)	1 (0.06%)	3.4	0.0108	0.0401	Co-occurrence
P-0015369	MUT	EPHA5	4q13.1-q13.2	17 (1.90%)	12 (0.76%)	1.32	0.0111	0.0409	Co-occurrence
P-0015369	MUT	AXL	19q13.2	22 (2.46%)	18 (1.14%)	1.11	0.0111	0.0409	Co-occurrence
P-0015369	MUT	TSC2	16p13.3	29 (3.24%)	27 (1.71%)	0.92	0.0114	0.0418	Co-occurrence
P-0015369	MUT	ATM	11q22.3	42 (4.69%)	45 (2.85%)	0.72	0.0125	0.0455	Co-occurrence
P-0015369	MUT	ERCC4	16p13.12	14 (1.56%)	9 (0.57%)	1.45	0.0135	0.0485	Co-occurrence
P-0015369	MUT	MYCN	2p24.3	14 (1.56%)	9 (0.57%)	1.45	0.0135	0.0485	Co-occurrence
P-0015369	MUT	CCND1	11q13.3	7 (0.78%)	2 (0.13%)	2.62	0.0136	0.0485	Co-occurrence
P-0015369	MUT	PIK3R2	19p13.11	7 (0.78%)	2 (0.13%)	2.62	0.0136	0.0485	Co-occurrence
P-0015369	MUT	IDH2	15q26.1	30 (3.35%)	29 (1.84%)	0.87	0.014	0.0496	Co-occurrence
P-0015369	DEL	CDKN2B	9p21.3	376 (41.96%)	204 (12.92%)	1.7	1.2E-58	3.47E-56	Co-occurrence
P-0015369	DEL	CDKN2A	9p21.3	393 (43.86%)	228 (14.44%)	1.6	1.3E-57	1.88E-55	Co-occurrence
P-0015369	DEL	GATA3	10p14	31 (3.46%)	3 (0.19%)	4.19	2.54E-11	2.45E-09	Co-occurrence
P-0015369	DEL	ARID5B	10q21.2	36 (4.02%)	8 (0.51%)	2.99	5.07E-10	3.67E-08	Co-occurrence
P-0015369	DEL	PTEN	10q23.31	67 (7.48%)	36 (2.28%)	1.71	1.19E-09	6.89E-08	Co-occurrence
P-0015369	DEL	TEK	9p21.2	21 (2.34%)	2 (0.13%)	4.21	5.12E-08	2.477E-06	Co-occurrence
P-0015369	DEL	ERRFI1	1p36.23	18 (2.01%)	2 (0.13%)	3.99	8.5E-07	3.264E-05	Co-occurrence
P-0015369	DEL	PIK3CD	1p36.22	16 (1.79%)	1 (0.06%)	4.82	9E-07	3.264E-05	Co-occurrence
P-0015369	DEL	RAC2	22q13.1	10 (1.12%)	0 (0.00%)	>10	3.744E-05	1.206E-03	Co-occurrence
P-0015369	DEL	RET	10q11.21	15 (1.67%)	4 (0.25%)	2.72	1.691E-04	4.905E-03	Co-occurrence
P-0015369	DEL	TNFRSF14	1p36.32	10 (1.12%)	1 (0.06%)	4.14	2.773E-04	7.31E-03	Co-occurrence
P-0015369	DEL	TP53	17p13.1	11 (1.23%)	3 (0.19%)	2.69	1.485E-03	0.0359	Co-occurrence
P-0015369	DEL	NF1	17q11.2	12 (1.34%)	4 (0.25%)	2.4	1.773E-03	0.0396	Co-occurrence
P-0015369	DEL	SUFU	10q24.32	6 (0.67%)	0 (0.00%)	>10	2.227E-03	0.0461	Co-occurrence
P-0015369	AMP	EGFR	7p11.2	315 (35.16%)	111 (7.03%)	2.32	8.53E-69	2.02E-66	Co-occurrence
P-0015369	AMP	MDM4	1q32.1	49 (5.47%)	24 (1.52%)	1.85	5.06E-08	5.994E-06	Co-occurrence
P-0015369	AMP	SOX2	3q26.33	45 (5.02%)	21 (1.33%)	1.92	8.89E-08	7.021E-06	Co-occurrence
P-0015369	AMP	CDK4	12q14.1	91 (10.16%)	81 (5.13%)	0.99	2.628E-06	1.557E-04	Co-occurrence
P-0015369	AMP	GLI1	12q13.3	38 (4.24%)	23 (1.46%)	1.54	2.453E-05	1.162E-03	Co-occurrence
P-0015369	AMP	MDM2	12q15	51 (5.69%)	41 (2.60%)	1.13	9.885E-05	3.905E-03	Co-occurrence
P-0015369	AMP	ETV1	7p21.2	19 (2.12%)	8 (0.51%)	2.07	2.991E-04	0.0101	Co-occurrence
P-0015346	MUT	IDH1	2q34	559 (37.67%)	142 (14.33%)	1.39	8.62E-39	5.97E-36	Co-occurrence
P-0015346	MUT	ATRX	Xq21.1	330 (22.24%)	45 (4.54%)	2.29	5.84E-38	2.02E-35	Co-occurrence
P-0015346	MUT	CIC	19q13.2	114 (7.68%)	14 (1.41%)	2.44	8.08E-14	1.86E-11	Co-occurrence
P-0015346	MUT	BRAF	7q34	38 (2.56%)	92 (9.28%)	-1.86	3.22E-13	5.57E-11	Mutual exclusivity
P-0015346	MUT	NOTCH3	19p13.12	37 (2.49%)	0 (0.00%)	>10	5.03E-09	6.96E-07	Co-occurrence
P-0015346	MUT	FUBP1	1p31.1	37 (2.49%)	2 (0.20%)	3.63	6.65E-07	7.667E-05	Co-occurrence
P-0015346	MUT	ATR	3q23	26 (1.75%)	0 (0.00%)	>10	1.534E-06	1.517E-04	Co-occurrence
P-0015346	MUT	PTPRT	20q12-q13.11	23 (1.55%)	0 (0.00%)	>10	7.259E-06	6.279E-04	Co-occurrence
P-0015346	MUT	FAT1	4q35.2	46 (3.10%)	7 (0.71%)	2.13	1.647E-05	1.223E-03	Co-occurrence
P-0015346	MUT	PIK3CG	7q22.3	26 (1.75%)	1 (0.10%)	4.12	1.768E-05	1.223E-03	Co-occurrence
P-0015346	MUT	SMARCA4	19p13.2	55 (3.71%)	11 (1.11%)	1.74	3.133E-05	1.723E-03	Co-occurrence
P-0015346	MUT	NSD1	5q35.3	32 (2.16%)	3 (0.30%)	2.83	3.398E-05	1.723E-03	Co-occurrence
P-0015346	MUT	NOTCH4	6p21.32	20 (1.35%)	0 (0.00%)	>10	3.426E-05	1.723E-03	Co-occurrence
P-0015346	MUT	PIK3R1	5q13.1	119 (8.02%)	40 (4.04%)	0.99	3.486E-05	1.723E-03	Co-occurrence
P-0015346	MUT	KMT2C	7q36.1	28 (1.89%)	2 (0.20%)	3.22	4.289E-05	1.979E-03	Co-occurrence
P-0015346	MUT	TP63	3q28	18 (1.21%)	0 (0.00%)	>10	9.625E-05	4.163E-03	Co-occurrence
P-0015346	MUT	FGFR3	4p16.3	43 (2.90%)	8 (0.81%)	1.84	1.397E-04	5.687E-03	Co-occurrence
P-0015346	MUT	RAD50	5q31.1	21 (1.42%)	1 (0.10%)	3.81	1.937E-04	7.446E-03	Co-occurrence
P-0015346	MUT	KDM5A	12p13.33	24 (1.62%)	2 (0.20%)	3	2.583E-04	8.566E-03	Co-occurrence
P-0015346	MUT	ASXL2	2p23.3	16 (1.08%)	0 (0.00%)	>10	2.701E-04	8.566E-03	Co-occurrence
P-0015346	MUT	IRS1	2q36.3	16 (1.08%)	0 (0.00%)	>10	2.701E-04	8.566E-03	Co-occurrence
P-0015346	MUT	ARID2	12q12	51 (3.44%)	12 (1.21%)	1.5	2.723E-04	8.566E-03	Co-occurrence
P-0015346	MUT	GRIN2A	16p13.2	23 (1.55%)	2 (0.20%)	2.94	4.018E-04	0.0121	Co-occurrence
P-0015346	MUT	CDK12	17q12	15 (1.01%)	0 (0.00%)	>10	4.524E-04	0.013	Co-occurrence
P-0015346	MUT	ZFHX3	16q22.2-q22.3	19 (1.28%)	1 (0.10%)	3.67	4.977E-04	0.0138	Co-occurrence
P-0015346	MUT	NOTCH1	9q34.3	95 (6.40%)	34 (3.43%)	0.9	6.036E-04	0.0161	Co-occurrence
P-0015346	MUT	CARD11	7p22.2	36 (2.43%)	7 (0.71%)	1.78	6.689E-04	0.0171	Co-occurrence
P-0015346	MUT	DOT1L	19p13.3	14 (0.94%)	0 (0.00%)	>10	7.574E-04	0.0181	Co-occurrence
P-0015346	MUT	TP53BP1	15q15.3	14 (0.94%)	0 (0.00%)	>10	7.574E-04	0.0181	Co-occurrence
P-0015346	MUT	RAD21	8q24.11	18 (1.21%)	1 (0.10%)	3.59	7.951E-04	0.0183	Co-occurrence
P-0015346	MUT	MSH6	2p16.3	40 (2.70%)	9 (0.91%)	1.57	9.315E-04	0.0204	Co-occurrence
P-0015346	MUT	SPEN	1p36.21-p36.13	21 (1.42%)	2 (0.20%)	2.81	9.628E-04	0.0204	Co-occurrence
P-0015346	MUT	EGFR	7p11.2	244 (16.44%)	118 (11.91%)	0.47	9.722E-04	0.0204	Co-occurrence
P-0015346	MUT	MGA	15q15.1	24 (1.62%)	3 (0.30%)	2.42	1E-03	0.0204	Co-occurrence
P-0015346	MUT	IRS2	13q34	13 (0.88%)	0 (0.00%)	>10	1.268E-03	0.0231	Co-occurrence
P-0015346	MUT	PGR	11q22.1	13 (0.88%)	0 (0.00%)	>10	1.268E-03	0.0231	Co-occurrence
P-0015346	MUT	PIK3CD	1p36.22	13 (0.88%)	0 (0.00%)	>10	1.268E-03	0.0231	Co-occurrence
P-0015346	MUT	MED12	Xq13.1	29 (1.95%)	5 (0.50%)	1.95	1.269E-03	0.0231	Co-occurrence
P-0015346	MUT	BCOR	Xp11.4	48 (3.23%)	13 (1.31%)	1.3	1.389E-03	0.0246	Co-occurrence
P-0015346	MUT	PTEN	10q23.31	351 (23.65%)	184 (18.57%)	0.35	1.446E-03	0.025	Co-occurrence
P-0015346	MUT	XPO1	2p15	20 (1.35%)	2 (0.20%)	2.74	1.482E-03	0.025	Co-occurrence
P-0015346	MUT	ARID1A	1p36.11	71 (4.78%)	24 (2.42%)	0.98	1.527E-03	0.0252	Co-occurrence
P-0015346	MUT	NCOR1	17p12-p11.2	16 (1.08%)	1 (0.10%)	3.42	2.012E-03	0.03	Co-occurrence
P-0015346	MUT	RICTOR	5p13.1	16 (1.08%)	1 (0.10%)	3.42	2.012E-03	0.03	Co-occurrence
P-0015346	MUT	ARID5B	10q21.2	12 (0.81%)	0 (0.00%)	>10	2.121E-03	0.03	Co-occurrence
P-0015346	MUT	EPHB1	3q22.2	12 (0.81%)	0 (0.00%)	>10	2.121E-03	0.03	Co-occurrence
P-0015346	MUT	IKBKE	1q32.1	12 (0.81%)	0 (0.00%)	>10	2.121E-03	0.03	Co-occurrence
P-0015346	MUT	LATS1	6q25.1	12 (0.81%)	0 (0.00%)	>10	2.121E-03	0.03	Co-occurrence
P-0015346	MUT	MST1R	3p21.31	12 (0.81%)	0 (0.00%)	>10	2.121E-03	0.03	Co-occurrence
P-0015346	MUT	EZH2	7q36.1	19 (1.28%)	2 (0.20%)	2.67	2.273E-03	0.0315	Co-occurrence
P-0015346	MUT	PTPRD	9p24.1-p23	27 (1.82%)	5 (0.50%)	1.85	2.635E-03	0.0358	Co-occurrence
P-0015346	MUT	MSH2	2p21-p16.3	34 (2.29%)	8 (0.81%)	1.5	3.007E-03	0.0378	Co-occurrence
P-0015346	MUT	POLE	12q24.33	29 (1.95%)	6 (0.61%)	1.69	3.176E-03	0.0378	Co-occurrence
P-0015346	MUT	GNA11	19p13.3	15 (1.01%)	1 (0.10%)	3.32	3.186E-03	0.0378	Co-occurrence
P-0015346	MUT	TSHR	14q31.1	15 (1.01%)	1 (0.10%)	3.32	3.186E-03	0.0378	Co-occurrence
P-0015346	MUT	SLX4	16p13.3	21 (1.42%)	3 (0.30%)	2.22	3.341E-03	0.0378	Co-occurrence
P-0015346	MUT	PTPRS	19p13.3	18 (1.21%)	2 (0.20%)	2.59	3.471E-03	0.0378	Co-occurrence
P-0015346	MUT	RAF1	3p25.2	18 (1.21%)	2 (0.20%)	2.59	3.471E-03	0.0378	Co-occurrence
P-0015346	MUT	AMER1	Xq11.2	11 (0.74%)	0 (0.00%)	>10	3.548E-03	0.0378	Co-occurrence
P-0015346	MUT	CTCF	16q22.1	11 (0.74%)	0 (0.00%)	>10	3.548E-03	0.0378	Co-occurrence
P-0015346	MUT	ETV4	17q21.31	11 (0.74%)	0 (0.00%)	>10	3.548E-03	0.0378	Co-occurrence
P-0015346	MUT	GATA2	3q21.3	11 (0.74%)	0 (0.00%)	>10	3.548E-03	0.0378	Co-occurrence
P-0015346	MUT	MDC1	6p21.33	11 (0.74%)	0 (0.00%)	>10	3.548E-03	0.0378	Co-occurrence
P-0015346	MUT	PIK3CB	3q22.3	11 (0.74%)	0 (0.00%)	>10	3.548E-03	0.0378	Co-occurrence
P-0015346	MUT	STAT5B	17q21.2	11 (0.74%)	0 (0.00%)	>10	3.548E-03	0.0378	Co-occurrence
P-0015346	MUT	DNMT3A	2p23.3	38 (2.56%)	10 (1.01%)	1.34	3.641E-03	0.0382	Co-occurrence
P-0015346	MUT	ERCC4	16p13.12	20 (1.35%)	3 (0.30%)	2.15	4.946E-03	0.0483	Co-occurrence
P-0015346	MUT	ANKRD11	16q24.3	14 (0.94%)	1 (0.10%)	3.22	5.027E-03	0.0483	Co-occurrence
P-0015346	MUT	INSR	19p13.2	14 (0.94%)	1 (0.10%)	3.22	5.027E-03	0.0483	Co-occurrence
P-0015346	MUT	MAP3K13	3q27.2	14 (0.94%)	1 (0.10%)	3.22	5.027E-03	0.0483	Co-occurrence
P-0015346	MUT	MRE11	11q21	14 (0.94%)	1 (0.10%)	3.22	5.027E-03	0.0483	Co-occurrence
P-0015346	MUT	TRAF7	16p13.3	14 (0.94%)	1 (0.10%)	3.22	5.027E-03	0.0483	Co-occurrence
P-0015346	DEL	ARID5B	10q21.2	41 (2.76%)	3 (0.30%)	3.19	6.18E-07	1.793E-04	Co-occurrence
P-0015346	DEL	GATA3	10p14	32 (2.16%)	2 (0.20%)	3.42	6.858E-06	9.944E-04	Co-occurrence
P-0015346	DEL	CDKN2B	9p21.3	385 (25.94%)	195 (19.68%)	0.4	1.705E-04	0.0147	Co-occurrence
P-0015346	DEL	CDKN2A	9p21.3	410 (27.63%)	211 (21.29%)	0.38	2.023E-04	0.0147	Co-occurrence
P-0015346	AMP	SOX2	3q26.33	59 (3.98%)	7 (0.71%)	2.49	8.78E-08	2.08E-05	Co-occurrence
P-0015346	AMP	PIK3C2B	1q32.1	9 (0.61%)	25 (2.52%)	-2.06	7.006E-05	7.545E-03	Mutual exclusivity
P-0015346	AMP	CDK4	12q14.1	126 (8.49%)	46 (4.64%)	0.87	1.129E-04	7.545E-03	Co-occurrence
P-0015346	AMP	PDGFRA	4q12	87 (5.86%)	27 (2.72%)	1.11	1.273E-04	7.545E-03	Co-occurrence
P-0015346	AMP	MYCN	2p24.3	27 (1.82%)	3 (0.30%)	2.59	2.885E-04	0.013	Co-occurrence
P-0015346	AMP	EGFR	7p11.2	287 (19.34%)	139 (14.03%)	0.46	3.281E-04	0.013	Co-occurrence
P-0015346	AMP	KIT	4q12	61 (4.11%)	18 (1.82%)	1.18	7.865E-04	0.0266	Co-occurrence
P-0015346	AMP	CCND2	12p13.32	27 (1.82%)	4 (0.40%)	2.17	9.583E-04	0.0284	Co-occurrence
P-0015289	MUT	EGFR	7p11.2	86 (7.14%)	276 (21.72%)	-1.6	8.44E-26	5.84E-23	Mutual exclusivity
P-0015289	MUT	CIC	19q13.2	109 (9.05%)	19 (1.49%)	2.6	1.01E-18	3.49E-16	Co-occurrence
P-0015289	MUT	BRAF	7q34	21 (1.74%)	109 (8.58%)	-2.3	1.83E-15	4.22E-13	Mutual exclusivity
P-0015289	MUT	RB1	13q14.2	123 (10.22%)	47 (3.70%)	1.47	6.99E-11	1.21E-08	Co-occurrence
P-0015289	MUT	FUBP1	1p31.1	37 (3.07%)	2 (0.16%)	4.29	4.17E-10	5.78E-08	Co-occurrence
P-0015289	MUT	PTEN	10q23.31	198 (16.45%)	337 (26.51%)	-0.69	6.62E-10	7.64E-08	Mutual exclusivity
P-0015289	MUT	TERT	5p15.33	296 (24.58%)	432 (33.99%)	-0.47	1.7E-07	1.68E-05	Mutual exclusivity
